,train_loss,train_accuracy,validation_loss,validation_accuracy
0,0.5712973326673992,0.844792201128784,0.556968356182443,0.8542094455852156
1,0.554233668919647,0.8781426372498717,0.5831778805848264,0.784394250513347
2,0.5483544969815606,0.8863519753719856,0.5414665045189907,0.9014373716632443
3,0.5503122595837937,0.8817342226782966,0.5406477150241452,0.9075975359342916
4,0.5431348025768216,0.8996921498204208,0.5393331957793579,0.9055441478439425
5,0.5432310715707649,0.8986659825551565,0.5633681394481072,0.8357289527720739
6,0.5387357213424988,0.9102103642893792,0.5276555143587398,0.9425051334702259
7,0.5369588308238934,0.9161108260646486,0.5321374245492829,0.9342915811088296
8,0.5324371388901681,0.9248332478193946,0.5264921150413138,0.9425051334702259
9,0.5323945013237587,0.9263724987172909,0.5308436712200392,0.9240246406570842
10,0.5344727827439619,0.9184197024114931,0.5587786904840254,0.8993839835728953
11,0.5342212605928995,0.9197024114930734,0.5401485630863746,0.9260780287474333
12,0.53228355744608,0.9245767060030785,0.5264397902410378,0.9404517453798767
13,0.5283463080917767,0.9343252950230888,0.5278547854149366,0.9363449691991786
14,0.5314083914227091,0.9281682914315034,0.5329492910931487,0.9404517453798767
15,0.5305927887581874,0.9273986659825552,0.5222467887817712,0.9507186858316222
16,0.5279102026651675,0.9330425859415085,0.5265933092859492,0.9363449691991786
17,0.526720718183904,0.9350949204720369,0.5374185064734864,0.9219712525667351
18,0.5279255965050824,0.9345818368394049,0.5301075204441924,0.9383983572895277
19,0.5296293324907967,0.9263724987172909,0.519256381405942,0.9527720739219713
20,0.5233416329474863,0.9448435094920472,0.523474194308326,0.9507186858316222
21,0.5206299940092616,0.9502308876346844,0.5331419706344604,0.9075975359342916
22,0.5263882563198573,0.9386865059004618,0.5280223152231142,0.946611909650924
23,0.5260870371065487,0.9350949204720369,0.5192342931729812,0.9507186858316222
24,0.5262705197757547,0.9363776295536173,0.5238660562944119,0.9425051334702259
25,0.5259594145403451,0.93945613134941,0.5210633487182477,0.946611909650924
26,0.522064525999125,0.948178553104156,0.5190910892809686,0.9568788501026694
27,0.5208677740479934,0.9492047203694202,0.5185667707200413,0.9507186858316222
28,0.5230484892613708,0.9435608004104669,0.5214973756664832,0.9589322381930184
29,0.5210055080727469,0.9489481785531042,0.5114725992175343,0.973305954825462
30,0.5233563119598142,0.9466393022062596,0.5151935878230806,0.9630390143737166
31,0.517322200454156,0.9581836839404823,0.5156169399098939,0.9691991786447639
32,0.5203118247671455,0.9520266803488969,0.5216392982422204,0.946611909650924
33,0.522598417371649,0.9479220112878399,0.5173602536228893,0.9568788501026694
34,0.5198143515420486,0.952539763981529,0.5190427025485578,0.9527720739219713
35,0.5241713130883892,0.9422780913288866,0.5261296828179879,0.9404517453798767
36,0.5238532747226595,0.944073884043099,0.5248280316897241,0.9383983572895277
37,0.5301736082677171,0.9276552077988712,0.5205414470216332,0.9589322381930184
38,0.5248157701900887,0.9412519240636223,0.5178785267796605,0.9589322381930184
39,0.5188169221409533,0.9543355566957414,0.517388009070371,0.9568788501026694
40,0.519400508083277,0.9545920985120575,0.5150447285885194,0.9609856262833676
41,0.5230379331533942,0.9445869676757311,0.5123785331508707,0.971252566735113
42,0.5160423892164548,0.9617752693689071,0.525110688420047,0.9383983572895277
43,0.5178961261166494,0.9558748075936377,0.5153625448381631,0.9630390143737166
44,0.5193137682787022,0.952796305797845,0.5132062372730498,0.9671457905544147
45,0.5188546964546055,0.9561313494099538,0.514026602802825,0.9671457905544147
46,0.5173593416710643,0.9563878912262699,0.5157550758160115,0.9568788501026694
47,0.519470295091358,0.9538224730631093,0.5138825921062571,0.9671457905544147
48,0.5204954427471523,0.9502308876346844,0.5201273161527802,0.9568788501026694
49,0.5179159784696236,0.9579271421241662,0.5202819645037641,0.9507186858316222
